"Id комментария","Дата добавления","Текст комментария",Комментатор,Email,Product,Активен
22,"5 янв. 2017 г.","Штаны берите только коричневые!",Тимофей,t@t.com,"<a href=""http://shop.com/bryuki-zegna"">Брюки Zegna</a>",1
23,"5 янв. 2017 г.","Подошва идеальна для асфальта",Аркадий,ark@gmail.com,"<a href=""http://shop.com/fango"">Fango</a>",1
25,"5 янв. 2017 г.","Хорошие ботинки",Аркадий,ark@gmail.com,"<a href=""http://shop.com/octavius-shoe"">Octavius Shoe</a>",1
26,"5 янв. 2017 г.","Да, ботинки отличные, поддержу!",Тимофей,t@t.com,"<a href=""http://shop.com/octavius-shoe"">Octavius Shoe</a>",1
27,"5 янв. 2017 г.","Удобные и практичные для ежедневной носки",Аркадий,ark@gmail.com,"<a href=""http://shop.com/rag-amp-bone"">Rag &amp; Bone</a>",1
28,"5 янв. 2017 г.","Пиджак что надо",Тимофей,t@t.com,"<a href=""http://shop.com/pidzhak-orin-15"">Пиджак Orin</a>",1
29,"6 янв. 2017 г.","Брала на подарок, упаковали отлично",Алла,alla@miss.net,"<a href=""http://shop.com/rubashka-premium-ampersand-henley"">Рубашка Premium Ampersand Henley</a>",1
53,"8 янв. 2017 г.",Поддержу,Аркадий,ark@gmail.com,"<a href=""http://shop.com/octavius-shoe"">Octavius Shoe</a>",1
55,"8 янв. 2017 г.",Чудесно,Тимофей,t@t.com,"<a href=""http://shop.com/bryuki-orin-12"">Брюки Orin</a>",1
59,"10 янв. 2017 г.","Хорошие ботинки",Тимофей,t@t.com,"<a href=""http://shop.com/octavius-shoe"">Octavius Shoe</a>",1
62,"11 янв. 2017 г.",Превосходно,Аркадий,ark@gmail.com,"<a href=""http://shop.com/krossovki-ergonauts"">Кроссовки Ergonauts</a>",1
63,"11 янв. 2017 г.","Согласен с Аркадием",Тимофей,t@t.com,"<a href=""http://shop.com/krossovki-ergonauts"">Кроссовки Ergonauts</a>",1
64,"13 янв. 2017 г.",Брюки,Аркадий,ark@gmail.com,"<a href=""http://shop.com/bryuki-orin-12"">Брюки Orin</a>",1
65,"16 янв. 2017 г.","Рубашка просто отличная",Алла,new@new.com,"<a href=""http://shop.com/horizon-heather-gray"">Horizon Heather Gray</a>",1
66,"5 февр. 2017 г.","Хорошая рубашка",Тимофей,t@t.com,"<a href=""http://shop.com/brushed-twill-field-shirt"">Brushed Twill Field Shirt</a>",1
