"Номер заказа","Id клиента","Имя клиента","Фамилия клиента",Email,Телефон,Адрес,Город,Страна,"Почтовый код","Id товара",Количество,Стоимость,"Общая стоимость",Цвет,Размер,Доставка,Оплата,Принят,"Дата заказа",Выполняется,Отменен,Доставлен
25,1,Тимофей,Салмин,admin@shop.com,"+698 569-89-78","ул. Новая, 74",Дюссельдорф,Австралия,89102,18,1,"28243,26 UAH","28243,26 UAH",black,45,"Доставка по указанному адресу в течение 3-х дней.","Оплата наличными при получении товара",1,"31 янв. 2017 г.",0,0,0
24,1,Тимофей,Салмин,admin@shop.com,"+698 569-89-78","ул. Новая, 74",Дюссельдорф,Австралия,89102,28,1,"1161,14 UAH","1161,14 UAH",black,45,"Доставка по указанному адресу в течение 3-х дней.","Оплата наличными при получении товара",1,"29 янв. 2017 г.",0,1,0
23,1,Тимофей,Салмин,admin@shop.com,"+698 569-89-78","ул. Новая, 74",Дюссельдорф,Австралия,89102,16,1,"20834,43 UAH","20834,43 UAH",black,45,"Доставка по указанному адресу на следующий день после покупки.
","Оплата наличными при получении товара",1,"29 янв. 2017 г.",0,0,0
22,0,Виктор,Григорьев,v@v.net,"044 898-01-88","ул. Виктора, 34б, д.3, кв. 45",Викторск,Югославия,01900,20,1,"30172,07 UAH","30172,07 UAH",black,45,"Доставка по указанному адресу на следующий день после покупки.
","Оплата наличными при получении товара",1,"28 янв. 2017 г.",1,0,0
21,1,Тимофей,Салмин,admin@shop.com,"+698 569-89-78","ул. Новая, 74",Дюссельдорф,Австралия,89102,21,1,"5596,85 UAH","5596,85 UAH",black,50,"Доставка по указанному адресу в течение 3-х дней.","Оплата заказа онлайн банковской картой Visa и MasterCard. Доставка товара возможна только после подтверждения платежа",1,"28 янв. 2017 г.",1,0,0
20,1,Тимофей,Салмин,admin@shop.com,"+698 569-89-78","ул. Новая, 74",Дюссельдорф,Австралия,897-8U,42,2,"1507,78 UAH","3015,55 UAH",black,45,"Доставка по указанному адресу в течение 3-х дней.","Оплата наличными при получении товара",1,"27 янв. 2017 г.",0,0,0
16,1,Тимофей,Салмин,admin@shop.com,"+698 569-89-78","ул. Новая, 74",Дюссельдорф,Австралия,897-8U,19,1,"19976,94 UAH","19976,94 UAH",black,45,"Доставка по указанному адресу в течение 3-х дней.","Оплата заказа онлайн банковской картой Visa и MasterCard. Доставка товара возможна только после подтверждения платежа",1,"26 янв. 2017 г.",1,0,0
15,1,Тимофей,Салмин,admin@shop.com,"+698 569-89-78","ул. Новая, 74",Дюссельдорф,Австралия,897-8U,43,1,"771,52 UAH","771,52 UAH",white,42.5,"Доставка по указанному адресу в течение 3-х дней.","Оплата наличными при получении товара",1,"25 янв. 2017 г.",1,0,0
13,1,Тимофей,Салмин,admin@shop.com,"+698 569-89-78","ул. Новая, 74",Дюссельдорф,Австралия,897-8U,12,1,"38521,05 UAH","38521,05 UAH",black,42.5,"Доставка по указанному адресу на следующий день после покупки.
","Оплата заказа онлайн банковской картой Visa и MasterCard. Доставка товара возможна только после подтверждения платежа",1,"24 янв. 2017 г.",0,1,0
12,2,Аркадий,Аркадьев,a@a.com,897-89-01,"ул. Совиная, 7",Акапулько,Норвегия,89700,47,1,"1791,04 UAH","1791,04 UAH",brown,42.5,"Доставка по указанному адресу в течение 3-х дней.","Оплата заказа онлайн банковской картой Visa и MasterCard. Доставка товара возможна только после подтверждения платежа",1,"24 янв. 2017 г.",1,0,0
